# GL Journal Export - 2026-01-06
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T17:41:39.715Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Dutchie Store Name,Account,Description,Subaccount,Ref. Number,Debit Amount,Credit Amount
FLD-DELRAY,Mint Delray Beach,40001,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,"1,851.00"
FLD-DELRAY,Mint Delray Beach,40002,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,"1,002.25",0.00
FLD-DELRAY,Mint Delray Beach,40003,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-DELRAY,Mint Delray Beach,40004,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-DELRAY,Mint Delray Beach,23500,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-DELRAY,Mint Delray Beach,10000,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,418.75,0.00
FLD-DELRAY,Mint Delray Beach,11010,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,430.00,0.00
FLD-DELRAY,Mint Delray Beach,70260,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-DELRAY,Mint Delray Beach,50000,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,338.71,0.00
FLD-DELRAY,Mint Delray Beach,12250,2026-01-06 DS - Mint Delray Beach: Daily Sales,00-00,2026-01-06 DS,0.00,338.71
FLD-SARASO,Mint Sarasota,40001,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,0.00,"5,323.00"
FLD-SARASO,Mint Sarasota,40002,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,"2,787.90",0.00
FLD-SARASO,Mint Sarasota,40003,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,42.75,0.00
FLD-SARASO,Mint Sarasota,40004,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-SARASO,Mint Sarasota,23500,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-SARASO,Mint Sarasota,10000,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,"1,490.10",0.00
FLD-SARASO,Mint Sarasota,11010,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,"1,020.00",0.00
FLD-SARASO,Mint Sarasota,70260,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,17.75,0.00
FLD-SARASO,Mint Sarasota,50000,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,"1,076.36",0.00
FLD-SARASO,Mint Sarasota,12250,2026-01-06 DS - Mint Sarasota: Daily Sales,00-00,2026-01-06 DS,0.00,"1,076.36"
FLD-STUART,Mint Stuart,40001,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,"3,320.00"
FLD-STUART,Mint Stuart,40002,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,"1,789.90",0.00
FLD-STUART,Mint Stuart,40003,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STUART,Mint Stuart,40004,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STUART,Mint Stuart,23500,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-STUART,Mint Stuart,10000,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,908.10,0.00
FLD-STUART,Mint Stuart,11010,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,520.00,0.00
FLD-STUART,Mint Stuart,70260,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,102.00
FLD-STUART,Mint Stuart,50000,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,605.22,0.00
FLD-STUART,Mint Stuart,12250,2026-01-06 DS - Mint Stuart: Daily Sales,00-00,2026-01-06 DS,0.00,605.22
FLD-BONITA,Mint Bonita Springs ,40001,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,"2,886.00"
FLD-BONITA,Mint Bonita Springs ,40002,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,"1,658.00",0.00
FLD-BONITA,Mint Bonita Springs ,40003,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,40004,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,23500,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,10000,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,568.00,0.00
FLD-BONITA,Mint Bonita Springs ,11010,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,660.00,0.00
FLD-BONITA,Mint Bonita Springs ,70260,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BONITA,Mint Bonita Springs ,50000,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,653.64,0.00
FLD-BONITA,Mint Bonita Springs ,12250,2026-01-06 DS - Mint Bonita Springs : Daily Sales,00-00,2026-01-06 DS,0.00,653.64
FLD-BRADEN,Mint Bradenton,40001,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,"3,202.00"
FLD-BRADEN,Mint Bradenton,40002,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,"1,616.25",0.00
FLD-BRADEN,Mint Bradenton,40003,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRADEN,Mint Bradenton,40004,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRADEN,Mint Bradenton,23500,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRADEN,Mint Bradenton,10000,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,745.75,0.00
FLD-BRADEN,Mint Bradenton,11010,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,840.00,0.00
FLD-BRADEN,Mint Bradenton,70260,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-BRADEN,Mint Bradenton,50000,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,703.59,0.00
FLD-BRADEN,Mint Bradenton,12250,2026-01-06 DS - Mint Bradenton: Daily Sales,00-00,2026-01-06 DS,0.00,703.59
FLD-MIAMI,Mint Miami,40001,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,"2,610.00"
FLD-MIAMI,Mint Miami,40002,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,"1,359.00",0.00
FLD-MIAMI,Mint Miami,40003,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MIAMI,Mint Miami,40004,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MIAMI,Mint Miami,23500,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,0.00,0.00
FLD-MIAMI,Mint Miami,10000,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,589.00,0.00
FLD-MIAMI,Mint Miami,11010,2026-01-06 DS - Mint Miami: Daily Sales,00-00,2026-01-06 DS,340.00,0.00
