Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965717,13804384,22287605,1,35,,35,17.5,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965720,13804384,22287605,1,35,,35,17.5,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965722,13804384,22287605,1,35,,35,17.5,3.5,g,0257252834123803,MC.SRH.120825.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,17.5,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965724,13803823,22274132,1,10,7.34,10,8.33,1,g,1076541461029851,MC.GDP.101325.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**; 200 Loyalty Points FREE Product,5; 3.33,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965725,13803823,22274132,1,10,7.34,10,8.33,1,g,1076541461029851,MC.GDP.101325.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**; 200 Loyalty Points FREE Product,5; 3.33,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965726,13803823,22274132,1,10,7.34,10,8.34,1,g,1076541461029851,MC.GDP.101325.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**; 200 Loyalty Points FREE Product,5; 3.34,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965863,13803827,22274137,1,28,5.61,28,14,0.1,g,8757138369241870,MC.RSO.STBE.110625.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,14,
Mint Brandon,175852753,2026-01-13T17:57:45.303,509965891,13804375,22302242,1,65,,65,35.75,1,g,0402056210638437,MCP.CO.V.ORB.111225.FLA,Mint Cannabis,No,No,55% Off ALL Distillate Vapes,35.75,
Mint Brandon,175853278,2026-01-13T18:39:26.783,509967246,13800868,22264215,1,60,20.33,60,38,1,g,8508787666473850,MC.V.CAC.101325.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Brandon,175853278,2026-01-13T18:39:26.783,509967247,13800868,22264215,1,60,20.33,60,38,1,g,8508787666473850,MC.V.CAC.101325.FLA,Mint Cannabis,No,No,2 1G Vapes $44,38,
Mint Brandon,175853383,2026-01-13T18:47:47.703,509967402,13804358,22302241,1,65,,65,43,1,g,9744943326246859,MCP.CO.V.GVB.120425.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Brandon,175853383,2026-01-13T18:47:47.703,509967403,13804375,22302242,1,65,,65,43,1,g,0402056210638437,MCP.CO.V.ORB.111225.FLA,Mint Cannabis,No,No,2 1G Vapes $44,43,
Mint Brandon,175853383,2026-01-13T18:47:47.703,509967423,13804064,22235323,1,12,3.36,12,3,,g,6194140447956216,6194140447956216,Mint Cannabis,No,No,25% OFF for Patients 55+,3,
