# GL Journal Export - 2026-01-15
# Source of Truth: Dutchie POS API (/reporting/transactions)
# Generated: 2026-01-19T18:57:51.639Z
# Time basis: Local store time (per-store timezone conversion)
# NOTE: Verify branch codes and account mappings match your accounting system.
#
Branch,Account,Account Description,Subaccount,Ref. Number,Debit Amount,Credit Amount,Description
AZV-GTL,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"12,103.14",0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"4,974.63",2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,10000,Cash on Hand,00-00,2026-01-15 DS,"25,608.80",0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,641.40,0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"10,738.95",0.00,2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-GTL,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"10,738.95",2026-01-15 DS - Mint Northern Phoenix: Daily Sales
AZV-EBA,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"43,361.00",2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"15,705.35",0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"5,985.12",2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,10000,Cash on Hand,00-00,2026-01-15 DS,"32,023.83",0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,"1,616.94",0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"17,570.96",0.00,2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-EBA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"17,570.96",2026-01-15 DS - Mint Scottsdale: Daily Sales
AZV-SWT,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"86,624.74",2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"28,672.30",0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,"15,142.88",2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,10000,Cash on Hand,00-00,2026-01-15 DS,"66,131.61",0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,11010,Debit Card Receivable,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,"6,963.71",0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,"40,054.80",0.00,2026-01-15 DS - Mint Tempe: Daily Sales
AZV-SWT,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,"40,054.80",2026-01-15 DS - Mint Tempe: Daily Sales
FLD-BONITA,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"2,683.00",2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,337.50",0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,10000,Cash on Hand,00-00,2026-01-15 DS,"1,189.50",0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,11010,Debit Card Receivable,00-00,2026-01-15 DS,50.00,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,106.00,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,685.18,0.00,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BONITA,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,685.18,2026-01-15 DS - Mint Bonita Springs : Daily Sales
FLD-BRADEN,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"3,626.00",2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"1,809.00",0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,10000,Cash on Hand,00-00,2026-01-15 DS,900.50,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,11010,Debit Card Receivable,00-00,2026-01-15 DS,480.00,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,70260,Overage/Shortage: Cash Ledger Adj,20-00,2026-01-15 DS,436.50,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,50000,Retail - Consumable Products for Resale,20-00,2026-01-15 DS,943.22,0.00,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRADEN,12250,Inventory - Finished Goods,00-00,2026-01-15 DS,0.00,943.22,2026-01-15 DS - Mint Bradenton: Daily Sales
FLD-BRANDO,40001,Retail Income: Retail Sales,20-00,2026-01-15 DS,0.00,"4,135.00",2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40002,Retail Income: Retail: Discounts and Coupons,20-00,2026-01-15 DS,"2,234.25",0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40003,Retail Income: Sales Return,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,40004,Loyalty Discounts,20-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
FLD-BRANDO,23500,Taxes Payable - Sales & Use,00-00,2026-01-15 DS,0.00,0.00,2026-01-15 DS - Mint Brandon: Daily Sales
