Store,TransactionID,TransactionDate,ItemID,ProductID,InventoryID,Quantity,UnitPrice,UnitCost,TotalPrice,TotalDiscount,UnitWeight,UnitWeightUnit,PackageID,BatchName,Vendor,IsReturned,IsCoupon,Discounts,DiscountAmounts,Taxes
Mint St. Augustine,175850993,2026-01-13T14:48:54.24,509959994,13800868,22263302,1,60,20.33,60,33,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
Mint St. Augustine,175850999,2026-01-13T14:58:28.52,509960123,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175850999,2026-01-13T14:58:28.52,509960122,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175851129,2026-01-13T15:08:11.717,509960455,13804042,22277382,1,45,13.91,45,16,1,g,2694236977671241,MC.CR.STZ.102225.FLA,Mint Cannabis,No,No,"$29 Shatter, Crumble & Dablicators/Syringes",16,
Mint St. Augustine,175851129,2026-01-13T15:08:11.717,509960371,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175851129,2026-01-13T15:08:11.717,509960370,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175851618,2026-01-13T16:00:08.19,509962042,13799209,22259881,1,25,,25,12.5,0.1,g,3335413997844402,MC.DIST.ELBE.100125.FLA,Cannabist FL,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,12.5,
Mint St. Augustine,175851618,2026-01-13T16:00:08.19,509962039,13799209,22259881,1,25,,25,12.5,0.1,g,3335413997844402,MC.DIST.ELBE.100125.FLA,Cannabist FL,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,12.5,
Mint St. Augustine,175851618,2026-01-13T16:00:08.19,509962045,13804383,22299953,1,120,52,120,60,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint St. Augustine,175851618,2026-01-13T16:00:08.19,509961995,13804383,22299953,1,120,52,120,60,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint St. Augustine,175851618,2026-01-13T16:00:08.19,509961991,13804383,22299953,1,120,52,120,60,14,g,9768086211880948,MC.SRH.120925.FLA,Mint Cannabis,No,No,Spend $399 Save 50% off **Does not Stack with Deals**,60,
Mint St. Augustine,175851630,2026-01-13T15:56:34.96,509961986,13804361,22299950,1,45,11.25,45,45,1,g,5163217515102457,MP.BH.MC.101025.FLA,Mint Cannabis,No,No,Product Sample Program (1 item per week),45,
Mint St. Augustine,175851888,2026-01-13T16:23:57.463,509962837,13804363,22299948,1,35,10.5,35,15,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175851888,2026-01-13T16:23:57.463,509962836,13804363,22299948,1,35,10.5,35,15,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175851888,2026-01-13T16:23:57.463,509962841,13800858,22275906,1,25,5.61,25,10,0.1,g,5901837192205304,MC.DIST.JSTR.102225.FLA,Mint Cannabis,No,No,2 For $30 Chews,10,
Mint St. Augustine,175851888,2026-01-13T16:23:57.463,509962838,13800858,22275906,1,25,5.61,25,10,0.1,g,5901837192205304,MC.DIST.JSTR.102225.FLA,Mint Cannabis,No,No,2 For $30 Chews,10,
Mint St. Augustine,175851900,2026-01-13T16:28:31.677,509962904,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175851900,2026-01-13T16:28:31.677,509962900,13804363,22299948,1,35,10.5,35,15,3.5,g,5784005091730240,MC.MEL.121125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175852107,2026-01-13T16:44:53.567,509963491,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175852157,2026-01-13T16:51:23.117,509963709,13800860,22249580,1,75,10,75,41.25,1,g,2712192832379396,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint St. Augustine,175852157,2026-01-13T16:51:23.117,509963672,13800860,22249580,1,75,10,75,41.25,1,g,2712192832379396,WTF.AIO.D.AFS.100925.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,41.25,
Mint St. Augustine,175852157,2026-01-13T16:51:23.117,509963687,13804385,22302677,1,35,,35,15,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,$20  Mint Cannabis 3.5G,15,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964129,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964128,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964127,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964124,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964122,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964119,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964115,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964112,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964108,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852284,2026-01-13T17:03:57.293,509964102,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852411,2026-01-13T17:15:48.25,509964389,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852411,2026-01-13T17:15:48.25,509964387,13800868,22263302,1,60,20.33,60,38,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,2 1G Vapes $44,38,
Mint St. Augustine,175852548,2026-01-13T17:30:20.927,509964922,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852548,2026-01-13T17:30:20.927,509964918,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852548,2026-01-13T17:30:20.927,509964912,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852548,2026-01-13T17:30:20.927,509964910,13804385,22302677,1,35,,35,15.25,3.5,g,6383322117516344,MC.ALB.120125.FLA,Mint Cannabis,No,No,"BYO Half w/ CLX, S&S & Mint Cannabis Eighths $79",15.25,
Mint St. Augustine,175852552,2026-01-13T17:26:13.34,509964781,13800868,22263302,1,60,20.33,60,33,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
Mint St. Augustine,175853260,2026-01-13T18:33:00.79,509967083,13800868,22263302,1,60,20.33,60,33,1,g,4550572297897474,MC.V.CAC.101325.FLA,Cannabist FL,No,No,55% Off ALL Distillate Vapes,33,
